authors,isbn,id,identifiers,pubdate,series,series_index,tags,title,#pages,#grvotes,#modrating,#genre,#more_tags,#series_type
Aldous Huxley,9780062001719.0,2,"grvotes:2080979,goodreads:8192287,amazon:006200171X,grrating:3.99,isbn:9780062001719,google:Nzat4dfTL0gC",1932-01-01T02:00:00-06:00,Brave New World,1.0,"*tbr, Dystopian, Classics",Brave New World,198,2080979.0,4.0,Fantasy,"Classics, Dystopian, Fantasy, Fiction, Literary, Philosophy, Politics",Standalone
Angie Sage,9781449862190.0,3,"amazon:1449862195,isbn:9781449862190,grrating:4.24,grvotes:30525,goodreads:12560886",2010-12-31T18:00:00-06:00,Septimus Heap,6.0,Dragons,Darke,304,30525.0,4.2,Fantasy,"Adventure, Dragons, Fantasy, Fiction, High Fantasy, Middle Grade, Mystery, Young Adult",Short Series
Angie Sage,9780060577360.0,19,"goodreads:355917,isbn:9780060577360,grrating:4.01,grvotes:74809,amazon:0060577363",2006-03-05T18:00:00-06:00,Septimus Heap,2.0,Dragons,Flyte,230,74809.0,4.0,Fantasy,"Adventure, Dragons, Fantasy, Fiction, High Fantasy, Middle Grade, Mystery, Young Adult",Short Series
Timothy Zahn,9780553578799.0,22,"amazon:0553578790,goodreads:390097,grrating:4.11,grvotes:19971,isbn:9780553578799,google:DzoIdt36wfMC",1996-12-31T18:00:00-06:00,Star Wars: The Hand of Thrawn,2.0,"Romance, *completed, Space Opera, Star Wars",Vision of the Future,526,19971.0,4.1,Fantasy,"Adventure, Aliens, Fantasy, Fiction, Romance, Science, Space Opera, Star Wars",Short Series
T. H. White,9781101657546.0,23,"grvotes:119000,goodreads:10880805,isbn:9781101657546,amazon:0441020836,grrating:4.07,google:t6NbzgAACAAJ",1958-01-01T02:00:00-06:00,The Once and Future King,1.0,"Classics, Epic Fantasy",The Once and Future King,700,119000.0,4.1,Fantasy,"Adventure, British, Classics, Epic, Fantasy, Fiction, High Fantasy, Literary, Medieval, Mythology, Young Adult",Standalone
Timothy Zahn,9780553298048.0,24,"google:My3TCwAAQBAJ,isbn:9780553298048,grvotes:22548,grrating:4.02,amazon:0553298046,goodreads:77787",1997-11-01T02:00:00-06:00,Star Wars: The Hand of Thrawn,1.0,"Star Wars, *completed, Space Opera",Specter of the Past,293,22548.0,4.0,Fantasy,"Adventure, Aliens, Fantasy, Fiction, Science, Space Opera, Star Wars",Short Series
Suzanne Collins,9780439023481.0,25,"grvotes:9930893,goodreads:2767052,google:hlb_sM1AN0gC,grrating:4.35,isbn:9780439023481,amazon:0439023483",2008-06-14T19:00:00-05:00,Hunger Games Trilogy,1.0,"Romance, Dystopian, *completed, Survival",The Hunger Games,231,9930893.0,4.3,Fantasy,"Adventure, Dystopian, Fantasy, Fiction, Military & War, Post-Apocalyptic, Romance, Survival, Thriller, Young Adult",Short Series
Suzanne Collins,9780439023498.0,26,"grrating:4.36,amazon:0439023491,grvotes:4164178,isbn:9780439023498,goodreads:6148028,google:AYFPnwEACAAJ",2009-08-31T19:00:00-05:00,Hunger Games Trilogy,2.0,"Romance, Dystopian, *completed, Survival",Catching Fire,231,4164178.0,4.4,Fantasy,"Adventure, Dystopian, Fantasy, Fiction, Military & War, Post-Apocalyptic, Romance, Survival, Thriller, Young Adult",Short Series
Suzanne Collins,9780439023511.0,27,"grrating:4.12,isbn:9780439023511,goodreads:7260188,grvotes:3727651,amazon:0439023513",2010-08-23T19:00:00-05:00,Hunger Games Trilogy,3.0,"Romance, Dystopian, *completed, Survival",Mockingjay,243,3727651.0,4.1,Fantasy,"Adventure, Dystopian, Fantasy, Fiction, Military & War, Post-Apocalyptic, Romance, Survival, Thriller, Young Adult",Short Series
Stephen R. Lawhead,9781782640370.0,29,"amazon:B0DLT7W6QP,goodreads:73906,grrating:4.01,isbn:9781782640370,grvotes:18469",2013-05-23T19:00:00-05:00,Pendragon Cycle,1.0,"Romance, Epic Fantasy, Historical Fiction",Taliesin,483,18469.0,4.0,Fantasy,"Adventure, Alternate History, British, Epic, Fantasy, Fiction, High Fantasy, Historical Fiction, History, Medieval, Mythology, Romance, Science Fiction, Speculative Fiction, Urban Fantasy, Young Adult",Short Series
