Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Thors: Battleworld,Jason Aaron,"Goran Sudžuka, Walt Simonson, Chris Sprouse","",digital,read,2022/08/05,"","",1,"adventurous, mysterious",medium,,,,,,4.25,"","","","",No
The Wise Man's Fear,Patrick Rothfuss,"",9780756404734,hardcover,read,2021/04/13,2021/05/20,2021/04/13-2021/05/20,1,"adventurous, dark, funny, mysterious, sad",medium,Plot,It's complicated,It's complicated,Yes,Yes,4.5,"","","","",Yes
The Dark Tower,Stephen King,"","",digital,read,2016/12/26,2022/01/09,2021/12/06-2022/01/09,1,"dark, mysterious, tense",medium,A mix,Yes,Yes,Yes,Yes,4.25,"","","","",No
Empire of Silence,Christopher Ruocchio,"",9780756413019,paperback,read,2022/12/29,2024/01/12,2024/01/01-2024/01/12,1,"adventurous, dark, reflective",slow,Character,Yes,Yes,No,Yes,4.5,"","","","",Yes
The Reformatory,Tananarive Due,"",9781982188344,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Soul Music,Terry Pratchett,"Peter Serafinowicz (Narrator), Sian Clifford (Narrator), Bill Nighy (Narrator)",B09LZ3YSCL,audio,read,2023/12/08,2024/04/11,2024/04/01-2024/04/11,1,"funny, inspiring",fast,Plot,Yes,Yes,No,No,4.5,"","","","",No
All the Sinners Bleed,S.A. Cosby,"",9781250831910,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Dynasty of Evil,Drew Karpyshyn,"",9780307796066,digital,read,2020/09/20,"","",1,"",,,,,,,4.0,,"",,"",No
Blood of Elves,Andrzej Sapkowski,Danusia Stok (Translator),9780316029193,paperback,read,2017/10/24,2018/05/21,2018/05/21,1,"",,,,,,,4.0,,"",,"",Yes
The Hunger Games,Suzanne Collins,"",9780439023481,hardcover,read,2016/12/26,"","",1,"",,,,,,,4.0,,"",,"",No
Mockingjay,Suzanne Collins,"",9780439023511,hardcover,read,2016/12/26,"","",1,"",,,,,,,2.0,,"",,"",No
The God Delusion,Richard Dawkins,"",9780618680009,hardcover,read,2016/12/26,"","",1,"",,,,,,,4.0,,"",,"",No
